start_station_name,start_station_id
Ditmars Blvd & 43 St,7039.03
34 Ave & 74 St,6451.07
E 8 St & Caton Ave,3272.01
93 St & Northern Blvd,6627.12
Jay St & Tech Pl,4710.06
E 60 St & York Ave,6682.08
Sumpter St & Fulton St,4187.04
Broadway & W 133 St,7903.02
48 St & Broadway,6629.06
E 167 St & Franklin Ave,8048.01
34 Ave & 89 St,6552.07
E Burnside Ave & Ryer Ave,8397.02
Underhill Ave & Lincoln Pl,4042.08
Spruce St & Nassau St,5137.1
Ave C & E 16 St,5769.06
53 St & Roosevelt Ave,6200.03
Stagg St & Union Ave,5117.05
Rutland Rd & E 45 St,3567.05
45 Rd & 11 St,6319.01
E 191 St & Bathgate Ave,8541.04
Echo Pl & Grand Concourse,8379.06
Park Ave & Marcus Garvey Blvd,4768.02
E 138 St & Willow Ave,7654.04
Vesey Pl & River Terrace,5297.02
Rutland Rd & Brooklyn Ave,3576.1
Banker St & Meserole Ave,5633.04
71 St & 32 Ave,6612.09
W 140 St & Riverside Dr,7981.27
Old Slip & South St,4993.13
E 174 St & Walton Ave,8285.09
Lefferts Ave & Albany Ave,3719.02
White St & Johnson Ave,5099.03
Adelphi St & Myrtle Ave,4620.02
Prospect Pl & Howard Ave,3991.04
97 St & 57 Ave,5953.03
Union Ave & E 169 St,8064.03
Menahan St & Central Ave,4672.01
31 St & Ditmars Blvd,7144.02
79 St & Roosevelt Ave,6290.13
24 Ave & 92 St,6913.03
Sedgwick Ave & W 231 St,8756.07
34 Ave & Vernon Blvd,6873.01
E Mosholu Pkwy & Van Cortlandt Ave E,8778.01
49 Ave & 27 St,6119.01
34 St & 48 Ave,6110.01
Albany Ave & Carroll St,3791.02
Fort Hamilton Pkwy & E 5 St,3240.15
Fulton St & Broadway,5175.08
Albemarle Rd & E 21 St,3180.09
Lincoln Ave & E 134 St,7712.06
Maple St & Flatbush Ave,3593.01
Kosciuszko St & Tompkins Ave,4553.04
65 St & 35 Ave,6417.04
Beaver St & Fayette St,4840.06
Pacific St & Thomas S. Boyland St,4023.05
42 Ave & 108 St,6371.03
Gillmore St & 27 Ave,6869.1
Clermont Ave & Park Ave,4692.01
North Moore St & Greenwich St,5470.12
Prospect Ave & E 167 St,8008.03
3 Ave & Franklin Ave,8012.04
Ditmars Blvd & 79 St,6994.06
Rogers Ave & Lincoln Rd,3625.07
Bergen St & Buffalo Ave,4072.02
Myrtle Ave & Grove St,4816.05
Columbus Pl & Atlantic Ave,4146.02
Madison St & Malcolm X Blvd,4416.1
60 St & 37 Ave,6383.06
W 238 St & Tibbett Ave,8897.05
St Marks Ave & Thomas S. Boyland St,4023.01
Monroe St & Classon Ave,4336.01
E 16 St & Cortelyou Rd,3070.04
Tyler Ave & Maurice Ave,5881.01
South St & Broad St,4920.13
61 St & 60 Ln,4830.02
E 179 St & Southern Blvd,8288.11
5 St & 51 Ave,6137.04
Ditmars Blvd & 76 St,6927.03
Sedgwick Ave & W Burnside Ave,8465.01
E 21 St & Church Ave,3294.03
58 St & 56 Dr,5548.01
100 St & Northern Blvd,6618.02
Front St & Jay St,4895.03
E 45 St & 3 Ave,6464.08
