start_station_name,start_station_id
85 St & Northern Blvd,6594.02
34 St & 38 Ave,6453.02
Decatur St & Saratoga Ave,4366.1
Ogden Ave & Merriam Ave,8218.04
White St & Johnson Ave,5099.03
Newtown Ave & 23 St,7026.08
Turner Pl & Coney Island Ave,3157.08
Albany Ave & Carroll St,3791.02
E 34 St & Church Ave,3318.05
Jerome Ave & Ogden Ave,8081.01
60 St & 60 Rd,5360.02
4 Ave & 17 St,3739.06
Sedgwick Ave & W Tremont Ave,8428.05
99 St & 50 Ave,6146.01
Winthrop St & Rogers Ave,3512.03
43 Ave & 40 St,6292.03
114 St & 39 Ave,6524.01
99 St & 38 Ave,6423.03
8 Ave & W 16 St,6072.11
Skillman Ave & 43 Ave,6300.04
11 Ave & W 59 St,7059.01
21 St & 31 Dr,6865.03
12 Ave & 36 St,3056.05
63 St & 5 Ave,2872.02
98 St & 41 Ave,6304.04
77 St & 24 Ave,6825.03
Summerfield St & Cypress Ave,4727.06
75 St & Roosevelt Ave,6332.09
Adam Clayton Powell Blvd & W 138 St,7855.03
E 89 St & York Ave,7204.08
W 25 St & 9 Ave,6339.06
1 Ave & E 16 St,5779.08
Grand Ave & Bergen St,4190.06
Sumpter St & Fulton St,4187.04
Stockholm St & Wilson Ave,4824.03
Willoughby Ave & Onderdonk Ave,5115.05
Washington St & Laight St,5509.02
Broadway & Berry St,5164.05
93 St & Roosevelt Ave,6390.05
35 Ave & 37 St,6563.12
35 St & Broadway,6750.16
Sedgwick Ave & Giles Pl,8815.01
E 51 St & 2 Ave,6575.03
E 58 St & Madison Ave,6839.04
W 55 St & 6 Ave,6809.09
W 87 St & West End Ave,7484.05
Union Ave & Wallabout St,4818.03
Bedford Ave & Bergen St,4066.15
Metropolitan Ave & Flushing Ave,5225.04
20 Ave & 48 St,7066.01
Lexington Ave & Stuyvesant Ave,4500.07
Lorimer St & Broadway,4965.01
49 St & 25 Ave,6804.01
E 158 St & Melrose Ave,7957.11
35 Ave & 10 St,6806.06
Central Park W & W 103 St,7577.27
Pulaski St & Marcus Garvey Blvd,4656.03
Richardson St & N Henry St,5433.03
46 Ave & Junction Blvd,6231.01
Sterling Pl & Schenectady Ave,3934.06
University Ave & Macombs Rd,8344.09
Jerome Ave & W 193 St,8619.02
E 38 St & Church Ave,3350.04
W 186 St & St Nicholas Ave,8416.1
Roebling St & N 4 St,5267.09
Broadway & W 138 St,7942.07
44 Dr & Jackson Ave,6352.01
E 7 St & Ave B,5584.05
E 53 St & 3 Ave,6617.02
Lefferts Ave & Albany Ave,3719.02
Cooper Square & Astor Pl,5712.03
Schenectady Ave & Maple St,3639.04
Forest Ave & Summerfield St,4798.02
46 Ave & 5 St,6286.02
97 St & 23 Ave,6941.03
Bridge St & Water St,4968.03
Madison St & Forest Ave,5025.02
Brooklyn Ave & Beverley Rd,3164.04
Tompkins Ave & Hopkins St,4850.04
Freeman St & Reverend James A Polite Ave,8080.01
